episode,Tabular Q-Learning,Vanilla DQN,DQN + Replay
782,-469.54,-500.0,-386.71
783,-469.54,-500.0,-383.93
784,-469.54,-500.0,-382.58
785,-469.54,-500.0,-380.92
786,-470.09,-500.0,-378.97
787,-469.13,-500.0,-377.8
788,-469.32,-500.0,-377.8
789,-469.81,-500.0,-377.8
790,-469.86,-500.0,-377.8
791,-469.78,-500.0,-377.8
792,-470.29,-500.0,-377.8
793,-470.29,-500.0,-377.8
794,-468.7,-500.0,-377.8
795,-469.06,-500.0,-377.8
796,-468.32,-500.0,-377.8
797,-468.32,-500.0,-377.8
798,-466.69,-500.0,-377.8
799,-466.69,-500.0,-377.8
800,-466.33,-500.0,-377.8
801,-464.46,-500.0,-377.8
802,-461.97,-500.0,-377.8
803,-461.97,-500.0,-377.8
804,-461.97,-500.0,-377.8
805,-460.92,-500.0,-377.8
806,-460.92,-500.0,-377.8
807,-461.14,-500.0,-377.8
808,-460.04,-500.0,-377.8
809,-459.77,-500.0,-377.8
810,-458.73,-500.0,-377.8
811,-458.73,-500.0,-377.8
812,-457.79,-500.0,-377.8
